Country_Region,Confirmed,Deaths
Afghanistan,174214,7619
Albania,272030,3478
Algeria,265186,6852
Andorra,38434,151
Angola,98796,1900
Antarctica,11,0
Antigua and Barbuda,7449,135
Argentina,8929898,126624
Armenia,421008,8516
Australia,53607,34
Australia,1361680,1936
Australia,42967,28
Australia,585499,589
Australia,158707,188
Australia,49708,26
Australia,1073518,2590
Australia,18973,11
Austria,2808008,14960
Azerbaijan,788525,9488
Bahamas,33169,771
Bahrain,523654,1458
Bangladesh,1946369,29064
Barbados,55863,316
Belarus,927464,6535
Belgium,541764,0
Belgium,413987,0
Belgium,459941,0
Belgium,331063,0
Belgium,418416,0
Belgium,347471,0
Belgium,254811,0
Belgium,94577,0
Belgium,162344,0
Belgium,52992,30259
Belgium,136179,0
Belgium,372747,0
Belize,56876,651
Benin,26575,163
Bhutan,14120,6
Bolivia,894200,21453
Bosnia and Herzegovina,372139,15519
Botswana,263950,2619
Brazil,122060,1979
Brazil,292568,6726
Brazil,160128,2109
Brazil,574304,14124
Brazil,1507386,29336
Brazil,1229820,26385
Brazil,685097,11461
Brazil,1025714,14166
Brazil,1178585,25807
Brazil,414524,10824
Brazil,710157,14754
Brazil,505198,10377
Brazil,3221769,59789
Brazil,722841,17868
Brazil,578882,10121
Brazil,2350005,42443
Brazil,844454,21128
Brazil,365598,7675
Brazil,479598,8062
Brazil,2177227,38441
Brazil,2006761,71875
Brazil,378013,7089
Brazil,153932,2134
Brazil,1627869,21439
Brazil,5045451,165033
Brazil,321030,6265
Brazil,299081,4112
Brunei,80749,135
Bulgaria,1099423,35790
Burkina Faso,20751,375
Burma,595821,19383
Burundi,38150,38
Cabo Verde,55890,401
Cambodia,131738,3038
Cameroon,119322,1926
Canada,527604,3954
Canada,349944,2903
Canada,0,1
Canada,13,0
Canada,131526,1690
Canada,38937,309
Canada,25728,66
Canada,9122,19
Canada,46795,208
Canada,3055,5
Canada,1123556,12573
Canada,16296,16
Canada,926918,14056
Canada,13,0
Canada,128289,1135
Canada,3485,22
Central African Republic,14320,113
Chad,7257,190
Chile,115188,1415
Chile,189666,1753
Chile,52914,641
Chile,58562,428
Chile,21896,130
Chile,300380,3208
Chile,109613,1264
Chile,173571,1721
Chile,94269,853
Chile,47020,572
Chile,201348,2063
Chile,1225676,21206
Chile,84531,781
Chile,128941,1775
Chile,77116,949
Chile,43,0
Chile,266700,4050
China,1013,6
China,1513,9
China,623,6
China,1584,1
China,370,2
China,5158,8
China,1174,2
China,162,2
China,193,6
China,1488,7
China,2093,13
China,2680,22
China,403080,1554
China,68378,4512
China,1235,4
China,1638,1
China,1782,0
China,959,1
China,649,3
China,1031,2
China,82,0
China,122,0
China,30,0
China,2826,3
China,1158,7
China,4502,7
China,287,0
China,1499,3
China,1150,3
China,1,0
China,0,0
China,996,3
China,1968,2
China,2277,1
Colombia,7546,264
Colombia,916764,18180
Colombia,16078,520
Colombia,401655,10107
Colombia,196720,3235
Colombia,124548,2766
Colombia,116749,2517
Colombia,1759444,29168
Colombia,24829,1011
Colombia,41486,989
Colombia,72031,1782
Colombia,106150,2662
Colombia,18564,426
Colombia,118821,3924
Colombia,316910,7228
Colombia,2753,37
Colombia,5580,105
Colombia,100069,3482
Colombia,56127,1514
Colombia,114615,3616
Colombia,104681,2519
Colombia,104298,3295
Colombia,119218,5049
Colombia,20440,767
Colombia,70705,2047
Colombia,106143,2463
Colombia,10145,154
Colombia,282201,8126
Colombia,65578,1711
Colombia,124084,3980
Colombia,0,300
Colombia,539223,14960
Colombia,1882,19
Colombia,3388,61
Comoros,8047,160
Congo (Brazzaville),24020,378
Congo (Kinshasa),86154,1335
Costa Rica,814583,8082
Cote d'Ivoire,81534,795
Croatia,1061429,15172
Cuba,1071964,8498
Cyprus,329674,873
Czechia,3616640,38837
Denmark,34658,28
Denmark,11806,20
Denmark,2837501,4772
Diamond Princess,712,13
Djibouti,15550,189
Dominica,11248,61
Dominican Republic,575592,4370
Ecuador,836216,35264
Egypt,488763,24162
El Salvador,156364,4083
Equatorial Guinea,15885,183
Eritrea,9708,103
Estonia,511022,2275
Eswatini,69290,1391
Ethiopia,468895,7476
Fiji,64019,834
Finland,671773,2387
France,77765,392
France,68425,642
France,124528,918
France,116168,895
France,36703,187
France,56833,302
France,302162,666
France,3780,6
France,1102,1
France,9912,63
France,454,7
France,22340070,136065
Gabon,47543,303
Gambia,11948,365
Georgia,1620639,16306
Germany,2227857,14409
Germany,2936074,21572
Germany,767892,4276
Germany,546402,5218
Germany,118678,687
Germany,357855,2313
Germany,1111774,9267
Germany,261751,1795
Germany,1134153,7582
Germany,3222493,22528
Germany,619374,5047
Germany,169340,1414
Germany,982258,14376
Germany,440003,4794
Germany,344003,2141
Germany,434312,6636
Germany,39734,0
Ghana,160028,1442
Greece,2486262,26092
Grenada,13690,216
Guatemala,789354,17045
Guinea,36397,440
Guinea-Bissau,8027,167
Guyana,63024,1223
Haiti,30382,820
Holy See,29,0
Honduras,413699,10785
Hungary,1800046,44286
Iceland,140929,68
India,10020,129
India,2318262,14729
India,64461,296
India,724157,6639
India,830227,12255
India,91785,1165
India,1151343,14030
India,11440,4
India,1861189,26134
India,245099,3826
India,1223130,10934
India,982682,10571
India,283605,4122
India,453167,4749
India,434516,5315
India,3942068,39985
India,6508845,66012
India,28095,228
India,11400,52
India,1039745,10732
India,7867916,143727
India,136872,2113
India,93557,1582
India,217038,661
India,35417,757
India,1285615,9091
India,165739,1962
India,758352,17719
India,1280876,9540
India,39081,443
India,3450594,38011
India,789553,4111
India,100868,919
India,0,0
India,2068765,23471
India,436328,7686
India,2015670,21178
Indonesia,5693702,149596
Iran,7080217,137593
Iraq,2307158,25034
Ireland,1315100,6531
Israel,3662064,10264
Italy,268050,2986
Italy,85239,771
Italy,222996,2117
Italy,1221128,9813
Italy,1194546,15981
Italy,310569,4802
Italy,1090008,10488
Italy,349181,5127
Italy,2351731,38726
Italy,332731,3607
Italy,40096,571
Italy,190005,1413
Italy,140221,1522
Italy,985557,13075
Italy,749431,7710
Italy,180834,2076
Italy,804760,9580
Italy,866985,9097
Italy,188044,1746
Italy,31572,522
Italy,1345175,13879
Jamaica,128142,2825
Japan,339609,1720
Japan,10547,35
Japan,23248,68
Japan,283498,1392
Japan,18052,118
Japan,13985,39
Japan,244840,985
Japan,25513,188
Japan,55045,283
Japan,54438,255
Japan,77132,405
Japan,180391,1799
Japan,274982,1874
Japan,78727,303
Japan,26537,172
Japan,11954,61
Japan,20261,80
Japan,32917,130
Japan,477515,1775
Japan,12806,82
